3172;2800;199;3315;13;2;3;death;8,4,2,2,8,2,0,2,4,9,4,1,2,1,10,1,2,2,4,1,1,2,2,4,1,2,5,7,2,2,2,2,2,2,2,1,10,3,3,1,3,1,7,5,9,3,2,1,2,5,9,10,1,7,3,10,6,2,2,7,3,4,4,4,3,2,2,6,1,4,1,2,6,7,4,1,10,2,4,2,1,2,1,6,7,1,1,3,2,4,2,2,2,2,2,2,7,6,6,3,6,4,2,2,8,3,4,3,2,8,5,2,4,10,10,5,3,4,3,10,1,3,4,4,4,8,10,2,9,6,7,4,6,10,7,10,2,4,5,4,1,2,2,10,3,7,2,10,10,4,4,1,8,5,10,3,2,1,10,2,2,6,1,3,0,8,5,0,8,6,0,4,2,3,2,5,2,2,10,2,3,10,7,2,9,10,4,9,4,3,1,1,5,0,6,3,8,1,6,10,7,10,2,9,1,3,1,2,9,2,2,7,0,4,2,4,1,8,1,2,1,1,1,10,3,4,3,4,10,4,2,6,8,1,2,6,0,4,2,4,2,4,10,0,4,9,1,2,2,2,1,9,6,0,4,2,0,10,4,4,4,10,10,3,2,9,8,4,3,1,8,2,8,5,1,4,10,1,5,3,10,10,6,3,4,1,4,3,8,2,2,10,4,3,2,5,10,5,5,3,1,9,8,1,2,4,1,10,4,1,2,2,6,1,3,10,1,3,1,5,0,6,2,7,2,6,10,8,1,4,7,4,2,2,3,4,1,2,7,10,0,4,2,2,4,5,10,5,10,7,7,9,1,4,1,2,4,2,10,9,2,3,10,3,4,1,9,2,3,7,3,5,10,10,2,8,9,4,10,3,4,1,9,6,2,9,4,1,2,3,4,4,10,7,10,4,8,2,7,4,2,10,4,4,2,2,10,1,8,4,2,10,2,10,4,4,4,2,1,1,1,3,7,0,5,6,2,2,4,1,2,4,9,5,5,2,2,10,4,0
3172;2800;199;3315;13;2;3;death;8,4,2,2,8,2,0,2,4,9,4,1,2,1,10,1,2,2,4,1,1,2,2,4,1,2,5,7,2,2,2,2,2,2,2,1,10,3,3,1,3,1,7,5,9,3,2,1,2,5,9,10,1,7,3,10,6,2,2,7,3,4,4,4,3,2,2,6,1,4,1,2,6,7,4,1,10,2,4,2,1,2,1,6,7,1,1,3,2,4,2,2,2,2,2,2,7,6,6,3,6,4,2,2,8,3,4,3,2,8,5,2,4,10,10,5,3,4,3,10,1,3,4,4,4,8,10,2,9,6,7,4,6,10,7,10,2,4,5,4,1,2,2,10,3,7,2,10,10,4,4,1,8,5,10,3,2,1,10,2,2,6,1,3,0,8,5,0,8,6,0,4,2,3,2,5,2,2,10,2,3,10,7,2,9,10,4,9,4,3,1,1,5,0,6,3,8,1,6,10,7,10,2,9,1,3,1,2,9,2,2,7,0,4,2,4,1,8,1,2,1,1,1,10,3,4,3,4,10,4,2,6,8,1,2,6,0,4,2,4,2,4,10,0,4,9,1,2,2,2,1,9,6,0,4,2,0,10,4,4,4,10,10,3,2,9,8,4,3,1,8,2,8,5,1,4,10,1,5,3,10,10,6,3,4,1,4,3,8,2,2,10,4,3,2,5,10,5,5,3,1,9,8,1,2,4,1,10,4,1,2,2,6,1,3,10,1,3,1,5,0,6,2,7,2,6,10,8,1,4,7,4,2,2,3,4,1,2,7,10,0,4,2,2,4,5,10,5,10,7,7,9,1,4,1,2,4,2,10,9,2,3,10,3,4,1,9,2,3,7,3,5,10,10,2,8,9,4,10,3,4,1,9,6,2,9,4,1,2,3,4,4,10,7,10,4,8,2,7,4,2,10,4,4,2,2,8,5,1,1,2,4,2,10,4,4,4,10,1,1,1,3,2,3,5,8,4,2,10,1,2,4,9,3,0,4,2,10,2,0
3172;2800;199;3315;13;2;3;death;8,4,2,2,8,2,0,2,4,9,4,1,2,1,10,1,2,2,4,1,1,2,2,4,1,2,5,7,2,2,2,2,2,2,2,1,10,3,3,1,3,1,7,5,9,3,2,1,2,5,9,10,1,7,3,10,6,2,2,7,3,4,4,4,3,2,2,6,1,4,1,2,6,7,4,1,10,2,4,2,1,2,1,6,7,1,1,3,2,4,2,2,2,2,2,2,7,6,6,3,6,4,2,2,8,3,4,3,2,8,5,2,4,10,10,5,3,4,3,10,1,3,4,4,4,8,10,2,9,6,7,4,6,10,7,10,2,4,5,4,1,2,2,10,3,7,2,10,10,4,4,1,8,5,10,3,2,1,10,2,2,6,1,3,0,8,5,0,8,6,0,4,2,3,2,5,2,2,10,2,3,10,7,2,9,10,4,9,4,3,1,1,5,0,6,3,8,1,6,10,7,10,2,9,1,3,1,2,9,2,2,7,0,4,2,4,1,8,1,2,1,1,1,10,3,4,3,4,10,4,2,6,8,1,2,6,0,4,2,4,2,4,10,0,4,9,1,2,2,2,1,9,6,0,4,2,0,10,4,4,4,10,10,3,2,9,8,4,3,1,8,2,8,5,1,4,10,1,5,3,10,10,6,3,4,1,4,3,8,2,2,10,4,3,2,5,10,5,5,3,1,9,8,1,2,4,1,10,4,1,2,2,6,1,3,10,1,3,1,5,0,6,2,7,2,6,10,8,1,4,7,4,2,2,3,4,1,2,7,10,0,4,2,2,4,5,10,5,10,7,7,9,1,4,1,2,4,2,10,9,2,3,10,3,4,1,9,2,3,7,3,5,10,10,2,8,9,4,10,3,4,1,9,6,2,9,4,1,2,3,4,4,10,7,10,4,8,2,7,4,2,10,4,4,2,2,8,5,10,0,2,1,2,2,6,1,4,10,2,1,1,2,0,5,5,5,4,2,10,1,2,0,2,3,0,1,2,10,2,3
3172;2800;199;3315;13;2;3;death;8,4,2,2,8,2,0,2,4,9,4,1,2,1,10,1,2,2,4,1,1,2,2,4,1,2,5,7,2,2,2,2,2,2,2,1,10,3,3,1,3,1,7,5,9,3,2,1,2,5,9,10,1,7,3,10,6,2,2,7,3,4,4,4,3,2,2,6,1,4,1,2,6,7,4,1,10,2,4,2,1,2,1,6,7,1,1,3,2,4,2,2,2,2,2,2,7,6,6,3,6,4,2,2,8,3,4,3,2,8,5,2,4,10,10,5,3,4,3,10,1,3,4,4,4,8,10,2,9,6,7,4,6,10,7,10,2,4,5,4,1,2,2,10,3,7,2,10,10,4,4,1,8,5,10,3,2,1,10,2,2,6,1,3,0,8,5,0,8,6,0,4,2,3,2,5,2,2,10,2,3,10,7,2,9,10,4,9,4,3,1,1,5,0,6,3,8,1,6,10,7,10,2,9,1,3,1,2,9,2,2,7,0,4,2,4,1,8,1,2,1,1,1,10,3,4,3,4,10,4,2,6,8,1,2,6,0,4,2,4,2,4,10,0,4,9,1,2,2,2,1,9,6,0,4,2,0,10,4,4,4,10,10,3,2,9,8,4,3,1,8,2,8,5,1,4,10,1,5,3,10,10,6,3,4,1,4,3,8,2,2,10,4,3,2,5,10,5,5,3,1,9,8,1,2,4,1,10,4,1,2,2,6,1,3,10,1,3,1,5,0,6,2,7,2,6,10,8,1,4,7,4,2,2,3,4,1,2,7,10,0,4,2,2,4,5,10,5,10,7,7,9,1,4,1,2,4,2,10,9,2,3,10,3,4,1,9,2,3,7,3,5,10,10,2,8,9,4,10,3,4,1,9,6,2,9,4,1,2,3,4,4,10,7,10,4,8,2,7,4,2,2,4,4,4,3,3,5,10,3,1,1,2,4,2,4,7,4,6,1,1,2,7,5,5,5,4,2,10,1,8,1,2,4,0,3,0,10,1,1
3171;2800;199;3314;13;2;3;death;8,4,2,2,8,2,0,2,4,9,4,1,2,1,10,1,2,2,4,1,1,2,2,4,1,2,5,7,2,2,2,2,2,2,2,1,10,3,3,1,3,1,7,5,9,3,2,1,2,5,9,10,1,7,3,10,6,2,2,7,3,4,4,4,3,2,2,6,1,4,1,2,6,7,4,1,10,2,4,2,1,2,1,6,7,1,1,3,2,4,2,2,2,2,2,2,7,6,6,3,6,4,2,2,8,3,4,3,2,8,5,2,4,10,10,5,3,4,3,10,1,3,4,4,4,8,10,2,9,6,7,4,6,10,7,10,2,4,5,4,1,2,2,10,3,7,2,10,10,4,4,1,8,5,10,3,2,1,10,2,2,6,1,3,0,8,5,0,8,6,0,4,2,3,2,5,2,2,10,2,3,10,7,2,9,10,4,9,4,3,1,1,5,0,6,3,8,1,6,10,7,10,2,9,1,3,1,2,9,2,2,7,0,4,2,4,1,8,1,2,1,1,1,10,3,4,3,4,10,4,2,6,8,1,2,6,0,4,2,4,2,4,10,0,4,9,1,2,2,2,1,9,6,0,4,2,0,10,4,4,4,10,10,3,2,9,8,4,3,1,8,2,8,5,1,4,10,1,5,3,10,10,6,3,4,1,4,3,8,2,2,10,4,3,2,5,10,5,5,3,1,9,8,1,2,4,1,10,4,1,2,2,6,1,3,10,1,3,1,5,0,6,2,7,2,6,10,8,1,4,7,4,2,2,3,4,1,2,7,10,0,4,2,2,4,5,10,5,10,7,7,9,1,4,1,2,4,2,10,9,2,3,10,3,4,1,9,2,3,7,3,5,10,10,2,8,9,4,10,3,4,1,9,6,2,9,4,1,2,3,4,4,4,2,10,4,4,1,2,9,2,8,2,2,2,4,10,10,8,3,1,10,2,4,0,10,4,4,6,1,1,2,2,6,5,7,3,2,2,1,8,1,2,4,3,4,0,10,4,8
3170;2800;199;3313;13;2;3;death;8,4,2,2,8,2,0,2,4,9,4,1,2,1,10,1,2,2,4,1,1,2,2,4,1,2,5,7,2,2,2,2,2,2,2,1,10,3,3,1,3,1,7,5,9,3,2,1,2,5,9,10,1,7,3,10,6,2,2,7,3,4,4,4,3,2,2,6,1,4,1,2,6,7,4,1,10,2,4,2,1,2,1,6,7,1,1,3,2,4,2,2,2,2,2,2,7,6,6,3,6,4,2,2,8,3,4,3,2,8,5,2,4,10,10,5,3,4,3,10,1,3,4,4,4,8,10,2,9,6,7,4,6,10,7,10,2,4,5,4,1,2,2,10,3,7,2,10,10,4,4,1,8,5,10,3,2,1,10,2,2,6,1,3,0,8,5,0,8,6,0,4,2,3,2,5,2,2,10,2,3,10,7,2,9,10,4,9,4,3,1,1,5,0,6,3,8,1,6,10,7,10,2,9,1,3,1,2,9,2,2,7,0,4,2,4,1,8,1,2,1,1,1,10,3,4,3,4,10,4,2,6,8,1,2,6,0,4,2,4,2,4,10,0,4,9,1,2,2,2,1,9,6,0,4,2,0,10,4,4,4,10,10,3,2,9,8,4,3,1,8,2,8,5,1,4,10,1,5,3,10,10,6,3,4,1,4,3,8,2,2,10,4,3,2,5,10,5,5,3,1,9,8,1,2,4,1,10,4,1,2,2,6,1,3,10,1,3,1,5,0,6,2,7,2,6,10,8,1,4,7,4,2,2,3,4,1,2,7,10,0,4,2,2,4,5,10,5,10,7,7,9,1,4,1,2,4,2,10,9,2,3,10,3,4,1,9,2,3,7,3,5,10,10,2,8,9,4,10,3,4,1,9,6,2,9,4,1,2,3,4,4,10,7,10,4,8,2,7,4,1,2,4,8,2,0,2,2,5,3,0,3,2,10,2,8,7,1,2,2,5,10,4,6,2,1,3,2,4,4,7,1,2,10,9,4,2,2,2,1
3170;2800;199;3313;13;2;3;death;8,4,2,2,8,2,0,2,4,9,4,1,2,1,10,1,2,2,4,1,1,2,2,4,1,2,5,7,2,2,2,2,2,2,2,1,10,3,3,1,3,1,7,5,9,3,2,1,2,5,9,10,1,7,3,10,6,2,2,7,3,4,4,4,3,2,2,6,1,4,1,2,6,7,4,1,10,2,4,2,1,2,1,6,7,1,1,3,2,4,2,2,2,2,2,2,7,6,6,3,6,4,2,2,8,3,4,3,2,8,5,2,4,10,10,5,3,4,3,10,1,3,4,4,4,8,10,2,9,6,7,4,6,10,7,10,2,4,5,4,1,2,2,10,3,7,2,10,10,4,4,1,8,5,10,3,2,1,10,2,2,6,1,3,0,8,5,0,8,6,0,4,2,3,2,5,2,2,10,2,3,10,7,2,9,10,4,9,4,3,1,1,5,0,6,3,8,1,6,10,7,10,2,9,1,3,1,2,9,2,2,7,0,4,2,4,1,8,1,2,1,1,1,10,3,4,3,4,10,4,2,6,8,1,2,6,0,4,2,4,2,4,10,0,4,9,1,2,2,2,1,9,6,0,4,2,0,10,4,4,4,10,10,3,2,9,8,4,3,1,8,2,8,5,1,4,10,1,5,3,10,10,6,3,4,1,4,3,8,2,2,10,4,3,2,5,10,5,5,3,1,9,8,1,2,4,1,10,4,1,2,2,6,1,3,10,1,3,1,5,0,6,2,7,2,6,10,8,1,4,7,4,2,2,3,4,1,2,7,10,0,4,2,2,4,5,10,5,10,7,7,9,1,4,1,2,4,2,10,9,2,3,10,3,4,1,9,2,3,7,3,5,10,10,2,8,9,4,10,3,4,1,9,6,2,9,4,1,2,3,4,4,10,7,10,4,8,2,7,4,2,2,4,8,2,0,3,2,5,3,0,2,2,9,2,8,7,2,2,2,5,2,4,1,4,1,1,2,3,4,2,1,10,10,9,4,2,7,4,1
3170;2800;199;3313;13;2;3;death;8,4,2,2,8,2,0,2,4,9,4,1,2,1,10,1,2,2,4,1,1,2,2,4,1,2,5,7,2,2,2,2,2,2,2,1,10,3,3,1,3,1,7,5,9,3,2,1,2,5,9,10,1,7,3,10,6,2,2,7,3,4,4,4,3,2,2,6,1,4,1,2,6,7,4,1,10,2,4,2,1,2,1,6,7,1,1,3,2,4,2,2,2,2,2,2,7,6,6,3,6,4,2,2,8,3,4,3,2,8,5,2,4,10,10,5,3,4,3,10,1,3,4,4,4,8,10,2,9,6,7,4,6,10,7,10,2,4,5,4,1,2,2,10,3,7,2,10,10,4,4,1,8,5,10,3,2,1,10,2,2,6,1,3,0,8,5,0,8,6,0,4,2,3,2,5,2,2,10,2,3,10,7,2,9,10,4,9,4,3,1,1,5,0,6,3,8,1,6,10,7,10,2,9,1,3,1,2,9,2,2,7,0,4,2,4,1,8,1,2,1,1,1,10,3,4,3,4,10,4,2,6,8,1,2,6,0,4,2,4,2,4,10,0,4,9,1,2,2,2,1,9,6,0,4,2,0,10,4,4,4,10,10,3,2,9,8,4,3,1,8,2,8,5,1,4,10,1,5,3,10,10,6,3,4,1,4,3,8,2,2,10,4,3,2,5,10,5,5,3,1,9,8,1,2,4,1,10,4,1,2,2,6,1,3,10,1,3,1,5,0,6,2,7,2,6,10,8,1,4,7,4,2,2,3,4,1,2,7,10,0,4,2,2,4,5,10,5,10,7,7,9,1,4,1,2,4,2,10,9,2,3,10,3,4,1,9,2,3,7,3,5,10,10,2,8,9,4,10,3,4,1,9,6,2,9,4,1,2,3,4,4,10,7,10,4,8,2,7,4,2,4,4,8,2,0,3,2,4,3,2,3,2,2,1,8,7,2,6,1,5,2,2,1,4,1,1,3,2,6,2,1,1,10,9,2,2,3,4,1
3170;2800;199;3313;13;2;3;death;8,4,2,2,8,2,0,2,4,9,4,1,2,1,10,1,2,2,4,1,1,2,2,4,1,2,5,7,2,2,2,2,2,2,2,1,10,3,3,1,3,1,7,5,9,3,2,1,2,5,9,10,1,7,3,10,6,2,2,7,3,4,4,4,3,2,2,6,1,4,1,2,6,7,4,1,10,2,4,2,1,2,1,6,7,1,1,3,2,4,2,2,2,2,2,2,7,6,6,3,6,4,2,2,8,3,4,3,2,8,5,2,4,10,10,5,3,4,3,10,1,3,4,4,4,8,10,2,9,6,7,4,6,10,7,10,2,4,5,4,1,2,2,10,3,7,2,10,10,4,4,1,8,5,10,3,2,1,10,2,2,6,1,3,0,8,5,0,8,6,0,4,2,3,2,5,2,2,10,2,3,10,7,2,9,10,4,9,4,3,1,1,5,0,6,3,8,1,6,10,7,10,2,9,1,3,1,2,9,2,2,7,0,4,2,4,1,8,1,2,1,1,1,10,3,4,3,4,10,4,2,6,8,1,2,6,0,4,2,4,2,4,10,0,4,9,1,2,2,2,1,9,6,0,4,2,0,10,4,4,4,10,10,3,2,9,8,4,3,1,8,2,8,5,1,4,10,1,5,3,10,10,6,3,4,1,4,3,8,2,2,10,4,3,2,5,10,5,5,3,1,9,8,1,2,4,1,10,4,1,2,2,6,1,3,10,1,3,1,5,0,6,2,7,2,6,10,8,1,4,7,4,2,2,3,4,1,2,7,10,0,4,2,2,4,5,10,5,10,7,7,9,1,4,1,2,4,2,10,9,2,3,10,3,4,1,9,2,3,7,3,5,10,10,2,8,9,4,10,3,4,1,9,6,2,9,4,1,2,3,4,4,10,7,10,4,8,2,7,4,2,4,2,7,4,0,3,2,2,1,2,3,2,2,1,8,7,9,6,1,1,2,2,1,2,1,3,1,2,2,4,1,0,4,9,2,2,2,1,2
3170;2800;199;3313;13;2;3;death;8,4,2,2,8,2,0,2,4,9,4,1,2,1,10,1,2,2,4,1,1,2,2,4,1,2,5,7,2,2,2,2,2,2,2,1,10,3,3,1,3,1,7,5,9,3,2,1,2,5,9,10,1,7,3,10,6,2,2,7,3,4,4,4,3,2,2,6,1,4,1,2,6,7,4,1,10,2,4,2,1,2,1,6,7,1,1,3,2,4,2,2,2,2,2,2,7,6,6,3,6,4,2,2,8,3,4,3,2,8,5,2,4,10,10,5,3,4,3,10,1,3,4,4,4,8,10,2,9,6,7,4,6,10,7,10,2,4,5,4,1,2,2,10,3,7,2,10,10,4,4,1,8,5,10,3,2,1,10,2,2,6,1,3,0,8,5,0,8,6,0,4,2,3,2,5,2,2,10,2,3,10,7,2,9,10,4,9,4,3,1,1,5,0,6,3,8,1,6,10,7,10,2,9,1,3,1,2,9,2,2,7,0,4,2,4,1,8,1,2,1,1,1,10,3,4,3,4,10,4,2,6,8,1,2,6,0,4,2,4,2,4,10,0,4,9,1,2,2,2,1,9,6,0,4,2,0,10,4,4,4,10,10,3,2,9,8,4,3,1,8,2,8,5,1,4,10,1,5,3,10,10,6,3,4,1,4,3,8,2,2,10,4,3,2,5,10,5,5,3,1,9,8,1,2,4,1,10,4,1,2,2,6,1,3,10,1,3,1,5,0,6,2,7,2,6,10,8,1,4,7,4,2,2,3,4,1,2,7,10,0,4,2,2,4,5,10,5,10,7,7,9,1,4,1,2,4,2,10,9,2,3,10,3,4,1,9,2,3,7,3,5,10,10,2,8,9,4,10,3,4,1,9,6,2,9,4,1,2,3,4,4,10,7,10,4,8,2,7,4,2,4,1,7,2,0,3,2,7,1,1,0,10,3,1,8,7,5,6,1,2,2,2,4,2,1,3,1,2,2,10,1,4,10,9,2,9,4,10,7
3170;2800;199;3313;13;2;3;death;8,4,2,2,8,2,0,2,4,9,4,1,2,1,10,1,2,2,4,1,1,2,2,4,1,2,5,7,2,2,2,2,2,2,2,1,10,3,3,1,3,1,7,5,9,3,2,1,2,5,9,10,1,7,3,10,6,2,2,7,3,4,4,4,3,2,2,6,1,4,1,2,6,7,4,1,10,2,4,2,1,2,1,6,7,1,1,3,2,4,2,2,2,2,2,2,7,6,6,3,6,4,2,2,8,3,4,3,2,8,5,2,4,10,10,5,3,4,3,10,1,3,4,4,4,8,10,2,9,6,7,4,6,10,7,10,2,4,5,4,1,2,2,10,3,7,2,10,10,4,4,1,8,5,10,3,2,1,10,2,2,6,1,3,0,8,5,0,8,6,0,4,2,3,2,5,2,2,10,2,3,10,7,2,9,10,4,9,4,3,1,1,5,0,6,3,8,1,6,10,7,10,2,9,1,3,1,2,9,2,2,7,0,4,2,4,1,8,1,2,1,1,1,10,3,4,3,4,10,4,2,6,8,1,2,6,0,4,2,4,2,4,10,0,4,9,1,2,2,2,1,9,6,0,4,2,0,10,4,4,4,10,10,3,2,9,8,4,3,1,8,2,8,5,1,4,10,1,5,3,10,10,6,3,4,1,4,3,8,2,2,10,4,3,2,5,10,5,5,3,1,9,8,1,2,4,1,10,4,1,2,2,6,1,3,10,1,3,1,5,0,6,2,7,2,6,10,8,1,4,7,4,2,2,3,4,1,2,7,10,0,4,2,2,4,5,10,5,10,7,7,9,1,4,1,2,4,2,10,9,2,3,10,3,4,1,9,2,3,7,3,5,10,10,2,8,9,4,10,3,4,1,9,6,2,9,4,1,2,3,4,4,10,7,10,4,8,2,7,4,1,2,3,8,2,0,4,2,2,4,0,4,2,10,2,10,4,1,2,2,5,8,4,0,9,1,7,4,5,4,7,2,4,2,4,4,2,0,2,1
3170;2800;199;3313;13;2;3;death;8,4,2,2,8,2,0,2,4,9,4,1,2,1,10,1,2,2,4,1,1,2,2,4,1,2,5,7,2,2,2,2,2,2,2,1,10,3,3,1,3,1,7,5,9,3,2,1,2,5,9,10,1,7,3,10,6,2,2,7,3,4,4,4,3,2,2,6,1,4,1,2,6,7,4,1,10,2,4,2,1,2,1,6,7,1,1,3,2,4,2,2,2,2,2,2,7,6,6,3,6,4,2,2,8,3,4,3,2,8,5,2,4,10,10,5,3,4,3,10,1,3,4,4,4,8,10,2,9,6,7,4,6,10,7,10,2,4,5,4,1,2,2,10,3,7,2,10,10,4,4,1,8,5,10,3,2,1,10,2,2,6,1,3,0,8,5,0,8,6,0,4,2,3,2,5,2,2,10,2,3,10,7,2,9,10,4,9,4,3,1,1,5,0,6,3,8,1,6,10,7,10,2,9,1,3,1,2,9,2,2,7,0,4,2,4,1,8,1,2,1,1,1,10,3,4,3,4,10,4,2,6,8,1,2,6,0,4,2,4,2,4,10,0,4,9,1,2,2,2,1,9,6,0,4,2,0,10,4,4,4,10,10,3,2,9,8,4,3,1,8,2,8,5,1,4,10,1,5,3,10,10,6,3,4,1,4,3,8,2,2,10,4,3,2,5,10,5,5,3,1,9,8,1,2,4,1,10,4,1,2,2,6,1,3,10,1,3,1,5,0,6,2,7,2,6,10,8,1,4,7,4,2,2,3,4,1,2,7,10,0,4,2,2,4,5,10,5,10,7,7,9,1,4,1,2,4,2,10,9,2,3,10,3,4,1,9,2,3,7,3,5,10,10,2,8,9,4,10,3,4,1,9,6,2,9,4,1,2,3,4,4,10,7,10,4,8,2,7,4,2,6,3,0,4,5,10,4,3,2,2,3,4,10,5,1,2,5,1,1,3,1,2,2,3,1,2,10,5,4,7,6,9,1,4,10,4,1,3,4
3170;2800;199;3312;13;2;3;death;8,4,2,2,8,2,0,2,4,9,4,1,2,1,10,1,2,2,4,1,1,2,2,4,1,2,5,7,2,2,2,2,2,2,2,1,10,3,3,1,3,1,7,5,9,3,2,1,2,5,9,10,1,7,3,10,6,2,2,7,3,4,4,4,3,2,2,6,1,4,1,2,6,7,4,1,10,2,4,2,1,2,1,6,7,1,1,3,2,4,2,2,2,2,2,2,7,6,6,3,6,4,2,2,8,3,4,3,2,8,5,2,4,10,10,5,3,4,3,10,1,3,4,4,4,8,10,2,9,6,7,4,6,10,7,10,2,4,5,4,1,2,2,10,3,7,2,10,10,4,4,1,8,5,10,3,2,1,10,2,2,6,1,3,0,8,5,0,8,6,0,4,2,3,2,5,2,2,10,2,3,10,7,2,9,10,4,9,4,3,1,1,5,0,6,3,8,1,6,10,7,10,2,9,1,3,1,2,9,2,2,7,0,4,2,4,1,8,1,2,1,1,1,10,3,4,3,4,10,4,2,6,8,1,2,6,0,4,2,4,2,4,10,0,4,9,1,2,2,2,1,9,6,0,4,2,0,10,4,4,4,10,10,3,2,9,8,4,3,1,8,2,8,5,1,4,10,1,5,3,10,10,6,3,4,1,4,3,8,2,2,10,4,3,2,5,10,5,5,3,1,9,8,1,2,4,1,10,4,1,2,2,6,1,3,10,1,3,1,5,0,6,2,7,2,6,10,8,1,4,7,4,2,2,3,4,1,2,7,10,0,4,2,2,4,5,10,5,10,7,7,9,1,4,1,2,4,2,10,9,2,3,10,3,4,1,9,2,3,7,3,5,10,10,2,8,9,4,10,3,4,1,9,6,2,9,4,1,2,3,4,4,10,7,10,4,8,2,7,4,2,4,4,7,5,2,10,1,8,2,9,8,3,9,4,4,4,4,1,1,1,2,7,0,5,8,2,10,4,1,2,4,2,5,5,2,2,8,4,10
3170;2800;199;3313;13;2;3;death;8,4,2,2,8,2,0,2,4,9,4,1,2,1,10,1,2,2,4,1,1,2,2,4,1,2,5,7,2,2,2,2,2,2,2,1,10,3,3,1,3,1,7,5,9,3,2,1,2,5,9,10,1,7,3,10,6,2,2,7,3,4,4,4,3,2,2,6,1,4,1,2,6,7,4,1,10,2,4,2,1,2,1,6,7,1,1,3,2,4,2,2,2,2,2,2,7,6,6,3,6,4,2,2,8,3,4,3,2,8,5,2,4,10,10,5,3,4,3,10,1,3,4,4,4,8,10,2,9,6,7,4,6,10,7,10,2,4,5,4,1,2,2,10,3,7,2,10,10,4,4,1,8,5,10,3,2,1,10,2,2,6,1,3,0,8,5,0,8,6,0,4,2,3,2,5,2,2,10,2,3,10,7,2,9,10,4,9,4,3,1,1,5,0,6,3,8,1,6,10,7,10,2,9,1,3,1,2,9,2,2,7,0,4,2,4,1,8,1,2,1,1,1,10,3,4,3,4,10,4,2,6,8,1,2,6,0,4,2,4,2,4,10,0,4,9,1,2,2,2,1,9,6,0,4,2,0,10,4,4,4,10,10,3,2,9,8,4,3,1,8,2,8,5,1,4,10,1,5,3,10,10,6,3,4,1,4,3,8,2,2,10,4,3,2,5,10,5,5,3,1,9,8,1,2,4,1,10,4,1,2,2,6,1,3,10,1,3,1,5,0,6,2,7,2,6,10,8,1,4,7,4,2,2,3,4,1,2,7,10,0,4,2,2,4,5,10,5,10,7,7,9,1,4,1,2,4,2,10,9,2,3,10,3,4,1,9,2,3,7,3,5,10,10,2,8,9,4,10,3,4,1,9,6,2,9,4,1,2,3,4,4,10,7,10,4,8,2,7,4,2,1,2,6,2,2,10,1,2,4,2,2,6,10,4,1,4,2,1,1,1,3,4,1,5,6,2,10,6,10,2,4,4,5,0,2,2,10,10,1
3170;2800;199;3313;13;2;3;death;8,4,2,2,8,2,0,2,4,9,4,1,2,1,10,1,2,2,4,1,1,2,2,4,1,2,5,7,2,2,2,2,2,2,2,1,10,3,3,1,3,1,7,5,9,3,2,1,2,5,9,10,1,7,3,10,6,2,2,7,3,4,4,4,3,2,2,6,1,4,1,2,6,7,4,1,10,2,4,2,1,2,1,6,7,1,1,3,2,4,2,2,2,2,2,2,7,6,6,3,6,4,2,2,8,3,4,3,2,8,5,2,4,10,10,5,3,4,3,10,1,3,4,4,4,8,10,2,9,6,7,4,6,10,7,10,2,4,5,4,1,2,2,10,3,7,2,10,10,4,4,1,8,5,10,3,2,1,10,2,2,6,1,3,0,8,5,0,8,6,0,4,2,3,2,5,2,2,10,2,3,10,7,2,9,10,4,9,4,3,1,1,5,0,6,3,8,1,6,10,7,10,2,9,1,3,1,2,9,2,2,7,0,4,2,4,1,8,1,2,1,1,1,10,3,4,3,4,10,4,2,6,8,1,2,6,0,4,2,4,2,4,10,0,4,9,1,2,2,2,1,9,6,0,4,2,0,10,4,4,4,10,10,3,2,9,8,4,3,1,8,2,8,5,1,4,10,1,5,3,10,10,6,3,4,1,4,3,8,2,2,10,4,3,2,5,10,5,5,3,1,9,8,1,2,4,1,10,4,1,2,2,6,1,3,10,1,3,1,5,0,6,2,7,2,6,10,8,1,4,7,4,2,2,3,4,1,2,7,10,0,4,2,2,4,5,10,5,10,7,7,9,1,4,1,2,4,2,10,9,2,3,10,3,4,1,9,2,3,7,3,5,10,10,2,8,9,4,10,3,4,1,9,6,2,9,4,1,2,3,4,4,10,7,10,4,8,2,7,4,2,8,4,4,3,2,8,5,10,1,3,4,2,10,2,4,1,10,3,1,1,2,3,3,3,1,4,10,10,1,2,9,7,3,0,1,2,2,10,2
